Pulau Kalimantan, Latitude, Longtitude
Provinsi Nusa Tenggara Barat, -8.6529334, 117.3616476
Provinsi Nusa Tenggara Timur, -8.6573819, 121.0793705
Provinsi Kalimantan Barat, -0.2787808, 111.4752851
Provinsi Kalimantan Tengah, -1.6814878, 113.3823545
Provinsi Kalimantan Selatan, -3.0926415, 115.2837585
Provinsi Kalimantan Timur, 1.6406296, 116.419389
Provinsi Sulawesi Utara, 0.6246932, 123.9750018
Provinsi Sulawesi Tengah, -1.4300254, 121.4456179
Provinsi Sulawesi Selatan, -3.6687994, 119.9740534
Provinsi Sulawesi Tenggara, -4.14491, 122.174605
Provinsi Gorontalo, 0.6999372, 122.4467238
Provinsi Sulawesi Barat, -2.8441371, 119.2320784
Provinsi Maluku, -3.2384616, 130.1452734
Provinsi Maluku Utara, 1.5709993, 127.8087693
Provinsi Papua Barat, -1.3361154, 133.1747162
Provinsi Papua, -4.269928, 138.0803529

